ISSN,类别,总引用频次,影响因子,分区,issn,英文全名,中文全名(机器翻译),年文章量,投稿难易度,初审周期,主页,校验,,,,
1569-190X,计算机科学，跨学科应用,2371,2.092,3,1569-190X,simulation modelling practice and theory,模拟建模实践与理论,96,较易,"较慢,6-12周",https://www.elsevier.com/journals/simulation-modelling-practice-and-theory/1569-190X,相同,,,,
0278-0070,计算机科学，跨学科应用,4913,2.089,3,0278-0070,ieee transactions on computer-aided design of integrated circuits and systems,IEEE集成电路与系统计算机辅助设计汇刊,333,容易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=43,相同,,,,
1094-3420,计算机科学，跨学科应用,829,2.015,3,1094-3420,international journal of high performance computing applications,国际高性能计算应用杂志,41,较易,>12周，或约稿,https://journals.sagepub.com/home/hpc,相同,,,,
1875-6891,计算机科学，跨学科应用,974,2,3,1875-6891,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,国际计算智能系统杂志,96,命中率约25%,平均24月,http://www.medsci.cn/sci/url.do?id=45ee10301&q=w,相同,,,,
0951-192X,计算机科学，跨学科应用,1749,1.995,3,0951-192X,international journal of computer integrated manufacturing,国际计算机集成制造杂志,186,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=cc991841&q=w,相同,,,,
1025-5842,计算机科学，跨学科应用,2564,1.974,3,1025-5842,Computer Methods in Biomechanics and Biomedical Engineering,生物力学与生物医学工程中的计算机方法,534,命中率约75%,平均12月,https://www.tandfonline.com/loi/gcmb20,相同,,,,
0140-0118,计算机科学，跨学科应用,5422,1.971,3,0140-0118,medical & biological engineering & computing,医学与生物工程与计算,458,命中率约50%,平均3月,https://link.springer.com/journal/11517,相同,,,,
1868-1743,计算机科学，跨学科应用,1003,1.955,4,1868-1743,MOLECULAR INFORMATICS,分子信息学,180,,"一般,3-8周",https://onlinelibrary.wiley.com/journal/18681751,相同,,,,
0177-0667,计算机科学，跨学科应用,1086,1.951,4,0177-0667,engineering with computers,计算机工程,126,容易,"偏慢,4-8周",https://link.springer.com/journal/366,相同,,,,
1877-7503,计算机科学，跨学科应用,1136,1.925,4,1877-7503,JOURNAL OF COMPUTATIONAL SCIENCE,计算科学杂志,141,,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computational-science/,相同,,,,
1093-3263,计算机科学，跨学科应用,6519,1.885,4,1093-3263,journal of molecular graphics & modelling,分子图形与建模杂志,1012,较易,"超快,1-2周",https://www.journals.elsevier.com/journal-of-molecular-graphics-and-modelling/,相同,,,,
1939-1382,计算机科学，跨学科应用,623,1.869,4,1939-1382,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,IEEE学习技术汇刊,46,命中率约50%,平均2月,http://ieee-edusociety.org/about/ieee-transactions-learning-technologies,相同,,,,
0887-3801,计算机科学，跨学科应用,2256,1.798,4,0887-3801,journal of computing in civil engineering,土木工程计算杂志,205,容易,"一般,3-6周",https://ascelibrary.org/journal/jccee5,相同,,,,
1464-7141,计算机科学，跨学科应用,1307,1.797,4,1464-7141,journal of hydroinformatics,水文信息学杂志,234,命中率约25%,平均3月,http://www.medsci.cn/sci/url.do?id=fab33883&q=w,相同,,,,
1742-2876,计算机科学，跨学科应用,891,1.771,4,1742-2876,Digital Investigation,数字调查,62,较易,"较慢,6-12周",https://www.journals.elsevier.com/digital-investigation/,相同,,,,
0219-6220,计算机科学，跨学科应用,852,1.755,4,0219-6220,international journal of information technology & decision making,国际信息技术与决策杂志,67,较易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijitdm,相同,,,,
0045-7906,计算机科学，跨学科应用,2473,1.747,4,0045-7906,computers & electrical engineering,计算机与电气工程,518,命中率约50%,平均6月,http://www.medsci.cn/sci/url.do?id=e4ba1691&q=w,相同,,,,
0271-2091,计算机科学，跨学科应用,6641,1.673,4,0271-2091,international journal for numerical methods in fluids,国际流体数值方法杂志,343,命中率约37.5%,平均2月,https://onlinelibrary.wiley.com/journal/10970363,相同,,,,
1598-8198,计算机科学，跨学科应用,839,1.637,4,1598-8198,computers and concrete,计算机和混凝土,758,容易,"很快,2-3周",http://technopress.kaist.ac.kr/?journal=cac&subpage=6,相同,,,,
1865-0473,计算机科学，跨学科应用,326,1.628,4,1865-0473,Earth Science Informatics,地球科学信息学,80,命中率约75%,平均1月,https://link.springer.com/journal/12145,相同,,,,
1530-9827,计算机科学，跨学科应用,752,1.588,4,1530-9827,journal of computing and information science in engineering,工程计算与信息科学杂志,110,命中率约27.5%,平均15月,http://computingengineering.asmedigitalcollection.asme.org/issues.aspx,相同,,,,
0167-6393,计算机科学，跨学科应用,3266,1.585,4,0167-6393,speech communication,言语交际,246,容易,"一般,3-6周",https://www.journals.elsevier.com/speech-communication/,相同,,,,
1610-2940,计算机科学，跨学科应用,5603,1.507,4,1610-2940,JOURNAL OF MOLECULAR MODELING,分子模型杂志,1168,命中率约75%,平均1月,http://www.medsci.cn/sci/url.do?id=573b7556&q=w,相同,,,,
2167-6461,计算机科学，跨学科应用,294,1.489,4,2167-6461,Big Data,大数据,31,命中率约50%,平均2月,https://www.ibm.com/analytics/hadoop/big-data-analytics,相同,,,,
0378-4754,计算机科学，跨学科应用,3426,1.476,4,0378-4754,mathematics and computers in simulation,数学与计算机模拟,290,容易,"一般,3-6周",https://www.journals.elsevier.com/mathematics-and-computers-in-simulation/,相同,,,,
1063-293X,计算机科学，跨学科应用,497,1.456,4,1063-293X,concurrent engineering-research and applications,并行工程研究与应用,54,容易,"较慢,6-12周",https://journals.sagepub.com/home/cer,相同,,,,
1091-9392,计算机科学，跨学科应用,321,1.421,4,1091-9392,journal of organizational computing and electronic commerce,组织计算与电子商务杂志,21,容易,>12周，或约稿,https://www.tandfonline.com/toc/hoce20/current,相同,,,,
1476-9271,计算机科学，跨学科应用,1076,1.412,4,1476-9271,computational biology and chemistry,计算生物学与化学,361,容易,"较快,2-4周",https://www.elsevier.com/journals/computational-biology-and-chemistry/1476-9271,相同,,,,
1091-9856,计算机科学，跨学科应用,1607,1.392,4,1091-9856,informs journal on computing,通知计算机杂志,48,容易,>12周，或约稿,https://pubsonline.informs.org/journal/ijoc,相同,,,,
1359-4338,计算机科学，跨学科应用,377,1.375,4,1359-4338,VIRTUAL REALITY,虚拟现实,46,容易,>12周，或约稿,https://link.springer.com/journal/10055,相同,,,,
2073-4859,计算机科学，跨学科应用,670,1.371,4,2073-4859,R Journal,R期刊,160,容易,"一般,3-8周",https://journal.r-project.org/,相同,,,,
0891-2017,计算机科学，跨学科应用,1864,1.319,4,0891-2017,空,翻译出错!,空,空,空,空,相同,,,,
1096-4290,计算机科学，跨学科应用,780,1.306,4,1096-4290,international journal of rf and microwave computer-aided engineering,国际射频与微波计算机辅助工程杂志,194,命中率约75%,平均3月,https://onlinelibrary.wiley.com/journal/1099047x,相同,,,,
1747-7778,计算机科学，跨学科应用,381,1.218,4,1747-7778,JOURNAL OF SIMULATION,模拟学报,35,容易,>12周，或约稿,https://www.springer.com/business+&+management/operations+research/journal/41273,相同,,,,
1066-5277,计算机科学，跨学科应用,3389,1.191,4,1066-5277,journal of computational biology,计算生物学杂志,428,容易,"较快,2-4周",https://home.liebertpub.com/publications/journal-of-computational-biology/31/overview,相同,,,,
0167-9473,计算机科学，跨学科应用,7972,1.181,4,0167-9473,computational statistics & data analysis,计算统计与数据分析,376,容易,"较快,2-4周",https://www.journals.elsevier.com/computational-statistics-and-data-analysis/,相同,,,,
0264-4401,计算机科学，跨学科应用,1714,1.177,4,0264-4401,engineering computations,工程计算,340,容易,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=c0742169&q=w,相同,,,,
0257-0130,计算机科学，跨学科应用,1297,1.171,4,0257-0130,queueing systems,排队系统,46,容易,>12周，或约稿,https://www.springer.com/business+&+management/operations+research/journal/11134,相同,,,,
1061-3773,计算机科学，跨学科应用,703,1.153,4,1061-3773,computer applications in engineering education,计算机在工程教育中的应用,152,容易,"一般,3-8周",https://onlinelibrary.wiley.com/journal/10990542,相同,,,,
1521-9615,计算机科学，跨学科应用,3025,1.074,4,1521-9615,computing in science & engineering,科学与工程计算,76,容易,"较慢,6-12周",https://www.computer.org/csdl/mags/cs/2014/01/index.html,相同,,,,
1538-2931,计算机科学，跨学科应用,731,1.056,4,1538-2931,cin-computers informatics nursing,计算机信息护理,257,容易,"一般,3-6周",https://journals.lww.com/cinjournal/pages/default.aspx,相同,,,,
0890-0604,计算机科学，跨学科应用,703,1.045,4,0890-0604,ai edam-artificial intelligence for engineering design analysis and manufacturing,用于工程设计分析和制造的人工智能,74,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=f634255&q=w,相同,,,,
0929-8215,计算机科学，跨学科应用,516,0.979,4,0929-8215,journal of new music research,新音乐研究杂志,25,容易,>12周，或约稿,https://www.tandfonline.com/toc/nnmr20/current,相同,,,,
1343-8875,计算机科学，跨学科应用,513,0.971,4,1343-8875,journal of visualization,可视化杂志,236,容易,"一般,3-6周",https://link.springer.com/journal/12650,相同,,,,
0037-5497,计算机科学，跨学科应用,1278,0.94,4,0037-5497,simulation-transactions of the society for modeling and simulation international,国际模拟与仿真学会模拟交易,79,容易,"较慢,6-12周",https://journals.sagepub.com/home/sim,相同,,,,
1049-3301,计算机科学，跨学科应用,598,0.931,4,1049-3301,ACM Transactions on Modeling and Computer Simulation,美国计算机学会模型和计算机仿真汇刊,46,容易,>12周，或约稿,https://tomacs.acm.org/,相同,,,,
1382-6905,计算机科学，跨学科应用,1094,0.927,4,1382-6905,journal of combinatorial optimization,组合优化杂志,344,容易,"较快,2-4周",https://link.springer.com/journal/10878,相同,,,,
0129-1831,计算机科学，跨学科应用,1903,0.919,4,0129-1831,international journal of modern physics c,国际现代物理杂志C,300,命中率约27.5%,平均13月,https://www.worldscientific.com/worldscinet/ijmpc,相同,,,,
0094-9655,计算机科学，跨学科应用,2418,0.869,4,0094-9655,journal of statistical computation and simulation,统计计算与模拟杂志,428,容易,"较快,2-4周",https://www.tandfonline.com/toc/gscs20/current,相同,,,,
1932-1864,计算机科学，跨学科应用,336,0.865,4,1932-1864,Statistical Analysis and Data Mining,统计分析与数据挖掘,60,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/19321872,相同,,,,
1573-4099,计算机科学，跨学科应用,391,0.77,4,1573-4099,CURRENT COMPUTER-AIDED DRUG DESIGN,当前计算机辅助药物设计,64,容易,"较慢,6-12周",https://benthamscience.com/journal/index.php?journalID=ccadd,相同,,,,
0925-9724,计算机科学，跨学科应用,547,0.725,4,0925-9724,COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING,计算机支持的协同工作——协同计算杂志,30,容易,>12周，或约稿,https://link.springer.com/journal/10606,相同,,,,
1574-020X,计算机科学，跨学科应用,422,0.656,4,1574-020X,language resources and evaluation,语言资源与评价,41,容易,>12周，或约稿,https://link.springer.com/journal/10579,相同,,,,
1381-298X,计算机科学，跨学科应用,423,0.641,4,1381-298X,COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,计算与数学组织理论,54,容易,"较慢,6-12周",https://link.springer.com/journal/10588,相同,,,,
1387-3954,计算机科学，跨学科应用,381,0.586,4,1387-3954,mathematical and computer modelling of dynamical systems,动力系统的数学与计算机建模,74,容易,"较慢,6-12周",https://www.tandfonline.com/toc/nmcm20/current,相同,,,,
0148-9267,计算机科学，跨学科应用,472,0.568,4,0148-9267,computer music journal,计算机音乐杂志,35,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/comj,相同,,,,
0218-2130,计算机科学，跨学科应用,411,0.565,4,0218-2130,international journal on artificial intelligence tools,国际人工智能工具杂志,56,容易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijait,相同,,,,
0332-1649,计算机科学，跨学科应用,773,0.534,4,0332-1649,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,国际电工与电子工程计算与数学杂志,270,容易,"一般,3-6周",https://www.emeraldinsight.com/journal/compel,相同,,,,
1556-4673,计算机科学，跨学科应用,105,0.529,4,1556-4673,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,计算机与文化遗产杂志,26,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=de3113049&q=w,相同,,,,
0938-1279,计算机科学，跨学科应用,331,0.464,4,0938-1279,applicable algebra in engineering communication and computing,工程通信与计算中的应用代数,64,容易,"较慢,6-12周",https://www.springer.com/computer/theoretical+computer+science/journal/200,相同,,,,
1939-1374,计算机科学，软件工程,1636,4.418,1,1939-1374,IEEE Transactions on Services Computing,IEEE服务计算汇刊,78,,"较慢,6-12周",https://www.computer.org/web/tsc,相同,,,,
1545-5971,计算机科学，软件工程,1692,4.41,1,1545-5971,ieee transactions on dependable and secure computing,关于可靠和安全计算的IEEE事务,55,一般,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8858,相同,,,,
0730-0301,计算机科学，软件工程,16424,4.384,1,0730-0301,acm transactions on graphics,ACM图形事务,248,很难,"一般,3-6周",https://tog.acm.org/,相同,,,,
1084-8045,计算机科学，软件工程,5072,3.991,1,1084-8045,journal of network and computer applications,网络与计算机应用杂志,269,较易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=2a354101&q=w,相同,,,,
1520-9210,计算机科学，软件工程,6203,3.977,1,1520-9210,ieee transactions on multimedia,IEEE多媒体汇刊,439,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6046,相同,,,,
0098-5589,计算机科学，软件工程,6343,3.331,2,0098-5589,ieee transactions on software engineering,IEEE软件工程汇刊,117,一般,"偏慢,4-8周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=32,相同,,,,
0965-9978,计算机科学，软件工程,3648,3.198,2,0965-9978,advances in engineering software,工程软件进展,234,较易,"一般,3-6周",https://www.elsevier.com/journals/advances-in-engineering-software/0965-9978,相同,,,,
1077-2626,计算机科学，软件工程,7603,3.078,2,1077-2626,ieee transactions on visualization and computer graphics,IEEE可视化与计算机图形汇刊,244,命中率约25%,平均3月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=2945,相同,,,,
0001-0782,计算机科学，软件工程,17147,3.063,2,0001-0782,communications of the acm,ACM的通信,307,较难,"较快,2-4周",https://cacm.acm.org/,相同,,,,
0010-4485,计算机科学，软件工程,5323,2.947,2,0010-4485,computer-aided design,计算机辅助设计,87,较易,"较慢,6-12周",https://www.elsevier.com/journals/computer-aided-design/0010-4485,相同,,,,
1382-3256,计算机科学，软件工程,1596,2.933,2,1382-3256,empirical software engineering,经验软件工程,90,较易,"较慢,6-12周",https://link.springer.com/journal/10664,相同,,,,
0098-3500,计算机科学，软件工程,3702,2.905,2,0098-3500,acm transactions on mathematical software,数学软件交流,92,较易,"较慢,6-12周",https://toms.acm.org/,相同,,,,
0740-7459,计算机科学，软件工程,2560,2.879,2,0740-7459,ieee software,IEEE软件,117,较易,"偏慢,4-8周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=52,相同,,,,
0018-9529,计算机科学，软件工程,5490,2.729,2,0018-9529,ieee transactions on reliability,IEEE可靠性事务,202,命中率约25%,平均6月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=24,相同,,,,
0025-5610,计算机科学，软件工程,8828,2.665,2,0025-5610,mathematical programming,数学规划,212,较易,"一般,3-6周",https://link.springer.com/journal/10107,相同,,,,
0950-5849,计算机科学，软件工程,3567,2.627,2,0950-5849,information and software technology,信息与软件技术,110,较易,"偏慢,4-8周",https://www.journals.elsevier.com/information-and-software-technology,相同,,,,
1086-4415,计算机科学，软件工程,1843,2.514,2,1086-4415,international journal of electronic commerce,国际电子商务杂志,24,较易,>12周，或约稿,https://www.ijec-web.org/,相同,,,,
1936-4954,计算机科学，软件工程,3184,2.361,2,1936-4954,SIAM JOURNAL ON IMAGING SCIENCES,暹罗影像科学杂志,304,,"较快,2-4周",https://www.siam.org/Publications/Journals/SIAM-Journal-on-Imaging-Sciences-SIIMS,相同,,,,
0164-1212,计算机科学，软件工程,4992,2.278,2,0164-1212,journal of systems and software,系统与软件杂志,219,命中率约50%,平均3月,https://www.elsevier.com/journals/journal-of-systems-and-software/0164-1212,相同,,,,
0262-8856,计算机科学，软件工程,5280,2.159,2,0262-8856,image and vision computing,图像与视觉计算,337,命中率约20%,平均6月,https://www.journals.elsevier.com/image-and-vision-computing/,相同,,,,
1569-190X,计算机科学，软件工程,2371,2.092,3,1569-190X,simulation modelling practice and theory,模拟建模实践与理论,96,较易,"较慢,6-12周",https://www.elsevier.com/journals/simulation-modelling-practice-and-theory/1569-190X,相同,,,,
0167-7055,计算机科学，软件工程,6015,2.046,3,0167-7055,computer graphics forum,计算机图形论坛,253,容易,"一般,3-6周",https://onlinelibrary.wiley.com/journal/14678659,相同,,,,
1551-6857,计算机科学，软件工程,781,2.019,3,1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,多媒体计算通信与应用交流,62,较易,"较慢,6-12周",https://tomm.acm.org/,相同,,,,
1049-331X,计算机科学，软件工程,919,1.946,3,1049-331X,acm transactions on software engineering and methodology,ACM软件工程与方法学汇刊,13,较易,>12周，或约稿,https://tosem.acm.org/,相同,,,,
0018-9162,计算机科学，软件工程,6201,1.94,3,0018-9162,computer,计算机,216,容易,"一般,3-6周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=2,相同,,,,
1089-7801,计算机科学，软件工程,2248,1.929,3,1089-7801,ieee internet computing,IEEE互联网计算,79,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4236,相同,,,,
0924-9907,计算机科学，软件工程,2049,1.927,3,0924-9907,journal of mathematical imaging and vision,数学成像与视觉杂志,150,较易,"一般,3-8周",https://link.springer.com/journal/10851,相同,,,,
0272-1732,计算机科学，软件工程,1499,1.913,3,0272-1732,ieee micro,IEEE微,68,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=40,相同,,,,
1070-986X,计算机科学，软件工程,844,1.898,3,1070-986X,ieee multimedia,ieee多媒体杂志,46,较易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=93,相同,,,,
1477-8424,计算机科学，软件工程,166,1.84,3,1477-8424,computer languages systems & structures,计算机语言系统和结构,41,较易,>12周，或约稿,https://www.journals.elsevier.com/computer-languages-systems-and-structures/,相同,,,,
1047-3203,计算机科学，软件工程,2744,1.836,3,1047-3203,journal of visual communication and image representation,视觉传达与图像表示杂志,191,容易,"一般,3-8周",https://www.journals.elsevier.com/journal-of-visual-communication-and-image-representation/,相同,,,,
0928-8910,计算机科学，软件工程,337,1.806,3,0928-8910,AUTOMATED SOFTWARE ENGINEERING,自动化软件工程,28,较易,>12周，或约稿,https://link.springer.com/journal/10515,相同,,,,
0947-3602,计算机科学，软件工程,526,1.75,3,0947-3602,requirements engineering,需求工程,24,较易,>12周，或约稿,https://link.springer.com/journal/766,相同,,,,
0004-5411,计算机科学，软件工程,6167,1.744,3,0004-5411,journal of the acm,ACM杂志,40,较易,>12周，或约稿,https://jacm.acm.org/,相同,,,,
1533-5399,计算机科学，软件工程,482,1.727,3,1533-5399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,互联网技术交流,50,较易,"较慢,6-12周",https://toit.acm.org/,相同,,,,
1619-1366,计算机科学，软件工程,718,1.722,3,1619-1366,SOFTWARE AND SYSTEMS MODELING,软件和系统建模,56,较易,"较慢,6-12周",http://sosym.org/,相同,,,,
1615-5262,计算机科学，软件工程,526,1.658,3,1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,国际信息安全杂志,37,命中率约75%,平均1月,https://www.springer.com/computer/security+and+cryptology/journal/10207,相同,,,,
0272-1716,计算机科学，软件工程,2234,1.64,3,0272-1716,ieee computer graphics and applications,IEEE计算机图形与应用,80,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=38,相同,,,,
1520-9202,计算机科学，软件工程,592,1.618,3,1520-9202,IT PROFESSIONAL,信息技术专业,150,,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=b90d11930&q=w,相同,,,,
0963-9314,计算机科学，软件工程,508,1.596,3,0963-9314,software quality journal,软件质量期刊,42,较易,>12周，或约稿,https://www.springer.com/computer/swe/journal/11219,相同,,,,
0960-0833,计算机科学，软件工程,579,1.556,3,0960-0833,software testing verification & reliability,软件测试验证与可靠性,21,较易,>12周，或约稿,https://onlinelibrary.wiley.com/journal/10991689,相同,,,,
1380-7501,计算机科学，软件工程,4753,1.541,3,1380-7501,multimedia tools and applications,多媒体工具和应用,2393,命中率约50%,平均6月,https://www.springer.com/computer/information+systems+and+applications/journal/11042,相同,,,,
0167-8396,计算机科学，软件工程,1517,1.522,3,0167-8396,computer aided geometric design,计算机辅助几何设计,102,较易,"偏慢,4-8周",https://www.journals.elsevier.com/computer-aided-geometric-design/,相同,,,,
0065-2458,计算机科学，软件工程,397,1.514,3,0065-2458,advances in computers,计算机进展,18,较易,>12周，或约稿,https://www.elsevier.com/books/book-series/advances-in-computers,相同,,,,
1556-4681,计算机科学，软件工程,895,1.489,3,1556-4681,ACM Transactions on Knowledge Discovery from Data,ACM数据知识发现事务,27,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=9bbb11723&q=w,相同,,,,
0378-4754,计算机科学，软件工程,3426,1.476,3,0378-4754,mathematics and computers in simulation,数学与计算机模拟,290,容易,"一般,3-6周",https://www.journals.elsevier.com/mathematics-and-computers-in-simulation/,相同,,,,
0920-5489,计算机科学，软件工程,1259,1.465,3,0920-5489,computer standards & interfaces,计算机标准和接口,96,容易,"较慢,6-12周",https://www.journals.elsevier.com/computer-standards-and-interfaces/,相同,,,,
0006-3835,计算机科学，软件工程,1889,1.425,3,0006-3835,BIT NUMERICAL MATHEMATICS,钻头数值数学,102,容易,"偏慢,4-8周",https://link.springer.com/journal/10543,相同,,,,
1359-4338,计算机科学，软件工程,377,1.375,3,1359-4338,VIRTUAL REALITY,虚拟现实,46,容易,>12周，或约稿,https://link.springer.com/journal/10055,相同,,,,
1007-0214,计算机科学，软件工程,850,1.365,3,1007-0214,TSINGHUA SCIENCE AND TECHNOLOGY,清华科技,128,容易,"偏慢,4-8周",http://qhdy.chinajournal.net.cn/WKE/WebPublication/index.aspx?mid=qhdy,相同,,,,
1570-8268,计算机科学，软件工程,961,1.348,3,1570-8268,journal of web semantics,网络语义学杂志,23,容易,>12周，或约稿,https://www.journals.elsevier.com/journal-of-web-semantics/,相同,,,,
1058-9244,计算机科学，软件工程,448,1.344,3,1058-9244,Scientific Programming,科学规划,77,容易,"较慢,6-12周",https://www.hindawi.com/journals/sp/,相同,,,,
0038-0644,计算机科学，软件工程,1745,1.338,4,0038-0644,software-practice & experience,软件实践与经验,93,命中率约75%,平均6月,https://onlinelibrary.wiley.com/journal/1097024x,相同,,,,
0163-5808,计算机科学，软件工程,1637,1.261,4,0163-5808,sigmod record,西格莫德唱片,28,容易,>12周，或约稿,https://sigmodrecord.org/,相同,,,,
1540-7993,计算机科学，软件工程,1410,1.239,4,1540-7993,ieee security & privacy,IEEE安全与隐私,93,容易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8013,相同,,,,
0097-8493,计算机科学，软件工程,1959,1.2,4,0097-8493,computers & graphics-uk,英国计算机与图形,90,容易,"较慢,6-12周",https://www.journals.elsevier.com/computers-and-graphics/,相同,,,,
1055-6788,计算机科学，软件工程,1681,1.183,4,1055-6788,optimization methods & software,优化方法与软件,126,命中率约75%,平均2月,https://www.tandfonline.com/toc/goms20/current,相同,,,,
2047-7473,计算机科学，软件工程,372,1.167,4,2047-7473,JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS,软件进化与过程杂志,62,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/20477481,相同,,,,
1559-1131,计算机科学，软件工程,582,1.163,4,1559-1131,ACM TRANSACTIONS ON THE WEB,ACM网上交易,26,容易,>12周，或约稿,https://tweb.acm.org/,相同,,,,
1539-9087,计算机科学，软件工程,1214,1.156,4,1539-9087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,嵌入式计算系统的ACM事务,163,容易,"一般,3-8周",https://tecs.acm.org/,相同,,,,
1386-145X,计算机科学，软件工程,614,1.15,4,1386-145X,world wide web-internet and web information systems,万维网互联网和网络信息系统,65,容易,"较慢,6-12周",https://www.springer.com/computer/database+management+&+information+retrieval/journal/11280,相同,,,,
1532-0626,计算机科学，软件工程,2157,1.114,4,1532-0626,concurrency and computation-practice & experience,并发与计算实践与经验,399,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/15320634,相同,,,,
2095-2228,计算机科学，软件工程,456,1.105,4,2095-2228,FRONTIERS OF COMPUTER SCIENCE,计算机科学前沿,81,容易,"较慢,6-12周",https://www.springer.com/computer/journal/11704,相同,,,,
1433-2779,计算机科学，软件工程,414,1.077,4,1433-2779,INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,国际技术转让软件工具杂志,42,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=967913042&q=w,相同,,,,
1741-1106,计算机科学，软件工程,142,1.071,4,1741-1106,INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,国际网络与网格服务杂志,23,容易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijwgs,相同,,,,
0948-695X,计算机科学，软件工程,1079,1.066,4,0948-695X,journal of universal computer science,通用计算机科学杂志,50,容易,"较慢,6-12周",http://www.jucs.org/jucs_info/aims,相同,,,,
0178-2789,计算机科学，软件工程,1829,1.036,4,0178-2789,visual computer,可视化计算机,133,容易,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/371,相同,,,,
1524-0703,计算机科学，软件工程,868,1.019,4,1524-0703,graphical models,图形模型,20,容易,>12周，或约稿,https://www.sciencedirect.com/journal/graphical-models,相同,,,,
0362-5915,计算机科学，软件工程,1165,1,4,0362-5915,acm transactions on database systems,数据库系统上的ACM事务,26,容易,>12周，或约稿,https://tods.acm.org/,相同,,,,
1042-9832,计算机科学，软件工程,1450,0.985,4,1042-9832,random structures & algorithms,随机结构与算法,108,容易,"偏慢,4-8周",https://onlinelibrary.wiley.com/journal/10982418,相同,,,,
1045-926X,计算机科学，软件工程,652,0.971,4,1045-926X,journal of visual languages and computing,视觉语言与计算杂志,59,容易,"较慢,6-12周",https://www.journals.elsevier.com/journal-of-visual-languages-and-computing/,相同,,,,
1544-3558,计算机科学，软件工程,499,0.962,4,1544-3558,ACM TRANSACTIONS ON APPLIED PERCEPTION,应用知觉交流,26,容易,>12周，或约稿,https://dl.acm.org/citation.cfm?id=1870076&picked=prox,相同,,,,
0018-8646,计算机科学，软件工程,3100,0.962,4,0018-8646,ibm journal of research and development,IBM研究与开发杂志,53,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=95bb2786&q=w,相同,,,,
1751-8806,计算机科学，软件工程,264,0.947,4,1751-8806,IET Software,IET软件,40,容易,>12周，或约稿,https://digital-library.theiet.org/content/journals/iet-sen,相同,,,,
0037-5497,计算机科学，软件工程,1278,0.94,4,0037-5497,simulation-transactions of the society for modeling and simulation international,国际模拟与仿真学会模拟交易,79,容易,"较慢,6-12周",https://journals.sagepub.com/home/sim,相同,,,,
